caseidx,PhoneNumber,Trt,MobileCredit
57912,549816603/,1,40GHS
58501,249673224/,1,40GHS
58512,547039624/,1,40GHS
59006,247373224/,1,40GHS
59810,242974765/,1,40GHS
60301,547073516/,1,40GHS
61307,541547506/,1,40GHS
62101,245316655/,1,40GHS
62112,546452411/,1,40GHS
62209,243033981,1,40GHS
62409,209394885/,1,40GHS
62413,209914060/,1,40GHS
62508,242974901,1,40GHS
62602,245939827/,1,40GHS
62706,542718752/,1,40GHS
63012,243203598,1,40GHS
63412,509268212/,1,40GHS
63711,507192601/,1,40GHS
64013,202415547/,1,40GHS
64403,542107695/,1,40GHS
64501,247231887,1,40GHS
64515,208240475,1,40GHS
64805,247024191/,1,40GHS
64901,546711430/,1,40GHS
64904,242804209/,1,40GHS
64913,240393206,1,40GHS
65107,246408282/,1,40GHS
65211,545995426/,1,40GHS
65409,555723165/,1,40GHS
65509,244513272/,1,40GHS
65511,204346649/,1,40GHS
65706,556483791/,1,40GHS
65813,200825333/,1,40GHS
66708,541125998/,1,40GHS
66801,245773560/,1,40GHS
66803,241295599/,1,40GHS
66804,206206744/,1,40GHS
67111,201856561/,1,40GHS
67301,242145976/,1,40GHS
67606,543989704/,1,40GHS
67609,553710401/,1,40GHS
67702,243370870/,1,40GHS
67711,242087949/,1,40GHS
68005,247929266/,1,40GHS
68106,543800447,1,40GHS
68308,549097705/,1,40GHS
68403,543278866/,1,40GHS
68410,245927719/,1,40GHS
68515,546565210/,1,40GHS
68810,240360400/,1,40GHS
69009,249828192/,1,40GHS
69202,547024819/,1,40GHS
69410,248529426/,1,40GHS
69901,240308883/,1,40GHS
69904,556062403/,1,40GHS
70209,541902130/,1,40GHS
70410,241670953/,1,40GHS
70809,246809552/,1,40GHS
70810,247198152/,1,40GHS
71110,208351598,1,40GHS
71215,556650054/,1,40GHS
71802,202999591/,1,40GHS
71905,201623520,1,40GHS
72006,242954136/,1,40GHS
72014,240131036/,1,40GHS
72112,209655562/,1,40GHS
72312,247072071/,1,40GHS
72404,245161851/,1,40GHS
72602,506968685/,1,40GHS
72612,246241229/,1,40GHS
72615,269656260/,1,40GHS
73103,241490384/,1,40GHS
73412,205596400/,1,40GHS
73603,500465959/,1,40GHS
73607,209657382/,1,40GHS
74003,543082656,1,40GHS
74014,243925674/,1,40GHS
74111,244817228,1,40GHS
74503,543159625/,1,40GHS
74612,553697142/,1,40GHS
75301,245860962/,1,40GHS
75508,246825977/,1,40GHS
75903,200736771/,1,40GHS
76102,543271786/,1,40GHS
76406,543872083/,1,40GHS
76601,248966566/,1,40GHS
76607,557018270/,1,40GHS
77303,248944258/,1,40GHS
78003,246264500/,1,40GHS
78102,248607896/,1,40GHS
78514,241125689/,1,40GHS
78913,507874905/,1,40GHS
79106,544147589/,1,40GHS
79912,548177252/,1,40GHS
81109,540646903/,1,40GHS
81113,544968188/,1,40GHS
81411,204805531,1,40GHS
81714,207111204/,1,40GHS
81915,201026273,1,40GHS
82001,243742319,1,40GHS
82209,207209229/,1,40GHS
82313,509100065/,1,40GHS
82415,247499604/,1,40GHS
82707,246470686/,1,40GHS
82803,245372621/,1,40GHS
82910,246079442/,1,40GHS
83107,541891126/,1,40GHS
83404,549152066/,1,40GHS
83710,248523422/,1,40GHS
84013,506887404,1,40GHS
84315,545556670/,1,40GHS
84704,245990321/,1,40GHS
84713,245241197/,1,40GHS
85002,247884948/,1,40GHS
85114,248234229/,1,40GHS
85511,247664274/,1,40GHS
86008,547693725/,1,40GHS
86208,554302563/,1,40GHS
86408,245683695/,1,40GHS
