caseidx,PhoneNumber,Trt,MobileCredit
65706,PII,1,40GHS
65813,PII,1,40GHS
66708,PII,1,40GHS
66801,PII,1,40GHS
66803,PII,1,40GHS
66804,PII,1,40GHS
67111,PII,1,40GHS
67301,PII,1,40GHS
67606,PII,1,40GHS
67609,PII,1,40GHS
67702,PII,1,40GHS
67711,PII,1,40GHS
68005,PII,1,40GHS
68106,PII,1,40GHS
68308,PII,1,40GHS
68403,PII,1,40GHS
68410,PII,1,40GHS
68515,PII,1,40GHS
68810,PII,1,40GHS
69009,PII,1,40GHS
69202,PII,1,40GHS
69410,PII,1,40GHS
69901,PII,1,40GHS
69904,PII,1,40GHS
70209,PII,1,40GHS
70410,PII,1,40GHS
70809,PII,1,40GHS
70810,PII,1,40GHS
71110,PII,1,40GHS
71215,PII,1,40GHS
71802,PII,1,40GHS
71905,PII,1,40GHS
72006,PII,1,40GHS
72014,PII,1,40GHS
72112,PII,1,40GHS
72312,PII,1,40GHS
72404,PII,1,40GHS
72602,PII,1,40GHS
72612,PII,1,40GHS
72615,PII,1,40GHS
73103,PII,1,40GHS
73412,PII,1,40GHS
73603,PII,1,40GHS
73607,PII,1,40GHS
74003,PII,1,40GHS
74014,PII,1,40GHS
74111,PII,1,40GHS
74503,PII,1,40GHS
74612,PII,1,40GHS
75301,PII,1,40GHS
75508,PII,1,40GHS
75903,PII,1,40GHS
76102,PII,1,40GHS
76406,PII,1,40GHS
76601,PII,1,40GHS
76607,PII,1,40GHS
77303,PII,1,40GHS
78003,PII,1,40GHS
78102,PII,1,40GHS
78514,PII,1,40GHS
78913,PII,1,40GHS
79106,PII,1,40GHS
79912,PII,1,40GHS
81109,PII,1,40GHS
81113,PII,1,40GHS
81411,PII,1,40GHS
81714,PII,1,40GHS
81915,PII,1,40GHS
82001,PII,1,40GHS
82209,PII,1,40GHS
82313,PII,1,40GHS
82415,PII,1,40GHS
82707,PII,1,40GHS
82803,PII,1,40GHS
82910,PII,1,40GHS
83107,PII,1,40GHS
83404,PII,1,40GHS
83710,PII,1,40GHS
84013,PII,1,40GHS
84315,PII,1,40GHS
84704,PII,1,40GHS
84713,PII,1,40GHS
85002,PII,1,40GHS
85114,PII,1,40GHS
85511,PII,1,40GHS
86008,PII,1,40GHS
86208,PII,1,40GHS
86408,PII,1,40GHS
86506,PII,1,40GHS
