caseidx,PhoneNumber,Trt,MobileCredit,Wave
56013,PII,2,20GHS,1
56105,PII,2,20GHS,1
56907,PII,2,20GHS,1
57115,PII,2,20GHS,1
57315,PII,2,20GHS,1
58402,PII,2,20GHS,1
58801,PII,2,20GHS,1
59514,PII,2,20GHS,1
59615,PII,2,20GHS,1
60007,PII,2,20GHS,1
60714,PII,2,20GHS,1
61607,PII,2,20GHS,1
62202,PII,2,20GHS,1
62312,PII,2,20GHS,1
62404,PII,2,20GHS,1
62510,PII,2,20GHS,1
62611,PII,2,20GHS,1
63001,PII,2,20GHS,1
63104,PII,2,20GHS,1
63113,PII,2,20GHS,1
63401,PII,2,20GHS,1
63406,PII,2,20GHS,1
63704,PII,2,20GHS,1
64003,PII,2,20GHS,1
64004,PII,2,20GHS,1
64209,PII,2,20GHS,1
64215,PII,2,20GHS,1
64607,PII,2,20GHS,1
64613,PII,2,20GHS,1
64801,PII,2,20GHS,1
64808,PII,2,20GHS,1
65015,PII,2,20GHS,1
65404,PII,2,20GHS,1
65502,PII,2,20GHS,1
65614,PII,2,20GHS,1
65805,PII,2,20GHS,1
66106,PII,2,20GHS,1
66506,PII,2,20GHS,1
66508,PII,2,20GHS,1
66809,PII,2,20GHS,1
67015,PII,2,20GHS,1
67410,PII,2,20GHS,1
67513,PII,2,20GHS,1
68107,PII,2,20GHS,1
68213,PII,2,20GHS,1
68215,PII,2,20GHS,1
68501,PII,2,20GHS,1
68506,PII,2,20GHS,1
68812,PII,2,20GHS,1
68912,PII,2,20GHS,1
69204,PII,2,20GHS,1
69210,PII,2,20GHS,1
69314,PII,2,20GHS,1
69406,PII,2,20GHS,1
69810,PII,2,20GHS,1
69913,PII,2,20GHS,1
70015,PII,2,20GHS,1
70411,PII,2,20GHS,1
70804,PII,2,20GHS,1
70815,PII,2,20GHS,1
70906,PII,2,20GHS,1
71104,PII,2,20GHS,1
71301,PII,2,20GHS,1
71906,PII,2,20GHS,1
71912,PII,2,20GHS,1
71913,PII,2,20GHS,1
72003,PII,2,20GHS,1
72211,PII,2,20GHS,1
72212,PII,2,20GHS,1
72705,PII,2,20GHS,1
72903,PII,2,20GHS,1
73010,PII,2,20GHS,1
73114,PII,2,20GHS,1
73201,PII,2,20GHS,1
73403,PII,2,20GHS,1
73411,PII,2,20GHS,1
73506,PII,2,20GHS,1
73708,PII,2,20GHS,1
74213,PII,2,20GHS,1
74306,PII,2,20GHS,1
74310,PII,2,20GHS,1
74413,PII,2,20GHS,1
74605,PII,2,20GHS,1
75311,PII,2,20GHS,1
75410,PII,2,20GHS,1
75604,PII,2,20GHS,1
75803,PII,2,20GHS,1
76409,PII,2,20GHS,1
76609,PII,2,20GHS,1
76703,PII,2,20GHS,1
76805,PII,2,20GHS,1
77014,PII,2,20GHS,1
77210,PII,2,20GHS,1
77605,PII,2,20GHS,1
78009,PII,2,20GHS,1
78501,PII,2,20GHS,1
78810,PII,2,20GHS,1
79114,PII,2,20GHS,1
80309,PII,2,20GHS,1
80507,PII,2,20GHS,1
81610,PII,2,20GHS,1
81715,PII,2,20GHS,1
81914,PII,2,20GHS,1
82104,PII,2,20GHS,1
82401,PII,2,20GHS,1
82410,PII,2,20GHS,1
82812,PII,2,20GHS,1
82908,PII,2,20GHS,1
83306,PII,2,20GHS,1
84102,PII,2,20GHS,1
84303,PII,2,20GHS,1
84504,PII,2,20GHS,1
84504,PII,2,20GHS,1
84915,PII,2,20GHS,1
85113,PII,2,20GHS,1
85115,PII,2,20GHS,1
85212,PII,2,20GHS,1
85902,PII,2,20GHS,1
86507,PII,2,20GHS,1
86510,PII,2,20GHS,1
86802,PII,2,20GHS,1
86910,PII,2,20GHS,1
87013,PII,2,20GHS,1
87415,PII,2,20GHS,1
87508,PII,2,20GHS,1
87614,PII,2,20GHS,1
87915,PII,2,20GHS,1
88202,PII,2,20GHS,1
88302,PII,2,20GHS,1
88314,PII,2,20GHS,1
88505,PII,2,20GHS,1
88901,PII,2,20GHS,1
89102,PII,2,20GHS,1
89713,PII,2,20GHS,1
89714,PII,2,20GHS,1
89801,PII,2,20GHS,1
90009,PII,2,20GHS,1
90204,PII,2,20GHS,1
90415,PII,2,20GHS,1
90509,PII,2,20GHS,1
90604,PII,2,20GHS,1
91212,PII,2,20GHS,1
91509,PII,2,20GHS,1
91609,PII,2,20GHS,1
92703,PII,2,20GHS,1
93403,PII,2,20GHS,1
94412,PII,2,20GHS,1
95312,PII,2,20GHS,1
95402,PII,2,20GHS,1
