caseidx,PhoneNumber,Trt,MobileCredit,Wave
16302,PII,2,20GHS,2
16803,PII,2,20GHS,2
16915,PII,2,20GHS,2
17214,PII,2,20GHS,2
17403,PII,2,20GHS,2
17510,PII,2,20GHS,2
17805,PII,2,20GHS,2
17807,PII,2,20GHS,2
17809,PII,2,20GHS,2
18008,PII,2,20GHS,2
18113,PII,2,20GHS,2
18207,PII,2,20GHS,2
18709,PII,2,20GHS,2
19003,PII,2,20GHS,2
20102,PII,2,20GHS,2
20105,PII,2,20GHS,2
20111,PII,2,20GHS,2
20214,PII,2,20GHS,2
20901,PII,2,20GHS,2
21214,PII,2,20GHS,2
21708,PII,2,20GHS,2
22406,PII,2,20GHS,2
22604,PII,2,20GHS,2
22607,PII,2,20GHS,2
22609,PII,2,20GHS,2
23015,PII,2,20GHS,2
23210,PII,2,20GHS,2
23314,PII,2,20GHS,2
23708,PII,2,20GHS,2
24012,PII,2,20GHS,2
24408,PII,2,20GHS,2
24409,PII,2,20GHS,2
24602,PII,2,20GHS,2
24801,PII,2,20GHS,2
25414,PII,2,20GHS,2
25515,PII,2,20GHS,2
26007,PII,2,20GHS,2
26208,PII,2,20GHS,2
26211,PII,2,20GHS,2
26307,PII,2,20GHS,2
26405,PII,2,20GHS,2
26706,PII,2,20GHS,2
26910,PII,2,20GHS,2
27103,PII,2,20GHS,2
27203,PII,2,20GHS,2
27611,PII,2,20GHS,2
28109,PII,2,20GHS,2
28213,PII,2,20GHS,2
28315,PII,2,20GHS,2
28715,PII,2,20GHS,2
28907,PII,2,20GHS,2
29104,PII,2,20GHS,2
29512,PII,2,20GHS,2
29605,PII,2,20GHS,2
29714,PII,2,20GHS,2
29803,PII,2,20GHS,2
30106,PII,2,20GHS,2
30606,PII,2,20GHS,2
30614,PII,2,20GHS,2
30803,PII,2,20GHS,2
30915,PII,2,20GHS,2
31109,PII,2,20GHS,2
31202,PII,2,20GHS,2
31504,PII,2,20GHS,2
31703,PII,2,20GHS,2
31710,PII,2,20GHS,2
31903,PII,2,20GHS,2
32001,PII,2,20GHS,2
32007,PII,2,20GHS,2
32013,PII,2,20GHS,2
32601,PII,2,20GHS,2
32606,PII,2,20GHS,2
32714,PII,2,20GHS,2
32801,PII,2,20GHS,2
32803,PII,2,20GHS,2
33402,PII,2,20GHS,2
33506,PII,2,20GHS,2
33510,PII,2,20GHS,2
33611,PII,2,20GHS,2
33712,PII,2,20GHS,2
34104,PII,2,20GHS,2
34413,PII,2,20GHS,2
35010,PII,2,20GHS,2
35104,PII,2,20GHS,2
35110,PII,2,20GHS,2
35414,PII,2,20GHS,2
35508,PII,2,20GHS,2
36315,PII,2,20GHS,2
36506,PII,2,20GHS,2
36513,PII,2,20GHS,2
36711,PII,2,20GHS,2
37202,PII,2,20GHS,2
37701,PII,2,20GHS,2
38109,PII,2,20GHS,2
38303,PII,2,20GHS,2
38307,PII,2,20GHS,2
38402,PII,2,20GHS,2
38807,PII,2,20GHS,2
39412,PII,2,20GHS,2
39703,PII,2,20GHS,2
39908,PII,2,20GHS,2
40004,PII,2,20GHS,2
40008,PII,2,20GHS,2
40708,PII,2,20GHS,2
41313,PII,2,20GHS,2
41811,PII,2,20GHS,2
42015,PII,2,20GHS,2
43111,PII,2,20GHS,2
43211,PII,2,20GHS,2
43214,PII,2,20GHS,2
43303,PII,2,20GHS,2
43409,PII,2,20GHS,2
43414,PII,2,20GHS,2
43614,PII,2,20GHS,2
43910,PII,2,20GHS,2
44007,PII,2,20GHS,2
44402,PII,2,20GHS,2
44602,PII,2,20GHS,2
45008,PII,2,20GHS,2
45102,PII,2,20GHS,2
45105,PII,2,20GHS,2
45604,PII,2,20GHS,2
45911,PII,2,20GHS,2
45913,PII,2,20GHS,2
46508,PII,2,20GHS,2
46513,PII,2,20GHS,2
46902,PII,2,20GHS,2
47507,PII,2,20GHS,2
47707,PII,2,20GHS,2
47814,PII,2,20GHS,2
48314,PII,2,20GHS,2
49311,PII,2,20GHS,2
49515,PII,2,20GHS,2
49715,PII,2,20GHS,2
50209,PII,2,20GHS,2
50511,PII,2,20GHS,2
50515,PII,2,20GHS,2
52014,PII,2,20GHS,2
52402,PII,2,20GHS,2
53304,PII,2,20GHS,2
53901,PII,2,20GHS,2
54008,PII,2,20GHS,2
54612,PII,2,20GHS,2
54907,PII,2,20GHS,2
55202,PII,2,20GHS,2
56013,PII,2,20GHS,2
56105,PII,2,20GHS,2
56907,PII,2,20GHS,2
57115,PII,2,20GHS,2
57315,PII,2,20GHS,2
58402,PII,2,20GHS,2
58801,PII,2,20GHS,2
59514,PII,2,20GHS,2
59615,PII,2,20GHS,2
60007,PII,2,20GHS,2
60714,PII,2,20GHS,2
61607,PII,2,20GHS,2
62202,PII,2,20GHS,2
62312,PII,2,20GHS,2
62404,PII,2,20GHS,2
62510,PII,2,20GHS,2
62611,PII,2,20GHS,2
63001,PII,2,20GHS,2
63104,PII,2,20GHS,2
63113,PII,2,20GHS,2
63401,PII,2,20GHS,2
63406,PII,2,20GHS,2
63704,PII,2,20GHS,2
64003,PII,2,20GHS,2
64004,PII,2,20GHS,2
64209,PII,2,20GHS,2
64215,PII,2,20GHS,2
64607,PII,2,20GHS,2
64613,PII,2,20GHS,2
64801,PII,2,20GHS,2
64808,PII,2,20GHS,2
65015,PII,2,20GHS,2
65404,PII,2,20GHS,2
65502,PII,2,20GHS,2
65614,PII,2,20GHS,2
65805,PII,2,20GHS,2
66106,PII,2,20GHS,2
66506,PII,2,20GHS,2
66508,PII,2,20GHS,2
66809,PII,2,20GHS,2
67015,PII,2,20GHS,2
67410,PII,2,20GHS,2
67513,PII,2,20GHS,2
68107,PII,2,20GHS,2
68213,PII,2,20GHS,2
68215,PII,2,20GHS,2
68501,PII,2,20GHS,2
68506,PII,2,20GHS,2
68812,PII,2,20GHS,2
68912,PII,2,20GHS,2
69204,PII,2,20GHS,2
69210,PII,2,20GHS,2
69314,PII,2,20GHS,2
69406,PII,2,20GHS,2
69810,PII,2,20GHS,2
69913,PII,2,20GHS,2
70015,PII,2,20GHS,2
70411,PII,2,20GHS,2
70804,PII,2,20GHS,2
70815,PII,2,20GHS,2
70906,PII,2,20GHS,2
71104,PII,2,20GHS,2
71301,PII,2,20GHS,2
71906,PII,2,20GHS,2
71912,PII,2,20GHS,2
71913,PII,2,20GHS,2
72003,PII,2,20GHS,2
72211,PII,2,20GHS,2
72212,PII,2,20GHS,2
72705,PII,2,20GHS,2
72903,PII,2,20GHS,2
73010,PII,2,20GHS,2
73114,PII,2,20GHS,2
73201,PII,2,20GHS,2
73403,PII,2,20GHS,2
73411,PII,2,20GHS,2
73506,PII,2,20GHS,2
73708,PII,2,20GHS,2
74213,PII,2,20GHS,2
74306,PII,2,20GHS,2
74310,PII,2,20GHS,2
74413,PII,2,20GHS,2
74605,PII,2,20GHS,2
75311,PII,2,20GHS,2
75410,PII,2,20GHS,2
75604,PII,2,20GHS,2
75803,PII,2,20GHS,2
76409,PII,2,20GHS,2
76609,PII,2,20GHS,2
76703,PII,2,20GHS,2
76805,PII,2,20GHS,2
77014,PII,2,20GHS,2
77210,PII,2,20GHS,2
77605,PII,2,20GHS,2
78009,PII,2,20GHS,2
78501,PII,2,20GHS,2
78810,PII,2,20GHS,2
79114,PII,2,20GHS,2
80309,PII,2,20GHS,2
80507,PII,2,20GHS,2
81610,PII,2,20GHS,2
81715,PII,2,20GHS,2
81914,PII,2,20GHS,2
82104,PII,2,20GHS,2
82401,PII,2,20GHS,2
82410,PII,2,20GHS,2
82812,PII,2,20GHS,2
82908,PII,2,20GHS,2
83306,PII,2,20GHS,2
84102,PII,2,20GHS,2
84303,PII,2,20GHS,2
84504,PII,2,20GHS,2
84504,PII,2,20GHS,2
84915,PII,2,20GHS,2
85113,PII,2,20GHS,2
85115,PII,2,20GHS,2
85212,PII,2,20GHS,2
85902,PII,2,20GHS,2
86507,PII,2,20GHS,2
86510,PII,2,20GHS,2
86802,PII,2,20GHS,2
86910,PII,2,20GHS,2
87013,PII,2,20GHS,2
87415,PII,2,20GHS,2
87508,PII,2,20GHS,2
87614,PII,2,20GHS,2
87915,PII,2,20GHS,2
88202,PII,2,20GHS,2
88302,PII,2,20GHS,2
88314,PII,2,20GHS,2
88505,PII,2,20GHS,2
88901,PII,2,20GHS,2
89102,PII,2,20GHS,2
89713,PII,2,20GHS,2
89714,PII,2,20GHS,2
89801,PII,2,20GHS,2
90009,PII,2,20GHS,2
90204,PII,2,20GHS,2
90415,PII,2,20GHS,2
90509,PII,2,20GHS,2
90604,PII,2,20GHS,2
91212,PII,2,20GHS,2
91509,PII,2,20GHS,2
91609,PII,2,20GHS,2
92703,PII,2,20GHS,2
93403,PII,2,20GHS,2
94412,PII,2,20GHS,2
95312,PII,2,20GHS,2
95402,PII,2,20GHS,2
95711,PII,2,20GHS,2
95811,PII,2,20GHS,2
96215,PII,2,20GHS,2
96708,PII,2,20GHS,2
97509,PII,2,20GHS,2
97605,PII,2,20GHS,2
97905,PII,2,20GHS,2
98003,PII,2,20GHS,2
99105,PII,2,20GHS,2
99603,PII,2,20GHS,2
100012,PII,2,20GHS,2
