caseidx,PhoneNumber,Trt,MobileCredit,Wave
406,PII,2,20GHS,2
1606,PII,2,20GHS,2
1610,PII,2,20GHS,2
2108,PII,2,20GHS,2
2210,PII,2,20GHS,2
2404,PII,2,20GHS,2
2501,PII,2,20GHS,2
2607,PII,2,20GHS,2
2910,PII,2,20GHS,2
3002,PII,2,20GHS,2
3005,PII,2,20GHS,2
3412,PII,2,20GHS,2
4309,PII,2,20GHS,2
4405,PII,2,20GHS,2
4702,PII,2,20GHS,2
4901,PII,2,20GHS,2
5114,PII,2,20GHS,2
5513,PII,2,20GHS,2
6402,PII,2,20GHS,2
6404,PII,2,20GHS,2
6705,PII,2,20GHS,2
7004,PII,2,20GHS,2
7111,PII,2,20GHS,2
7515,PII,2,20GHS,2
7914,PII,2,20GHS,2
8101,PII,2,20GHS,2
8212,PII,2,20GHS,2
8301,PII,2,20GHS,2
8502,PII,2,20GHS,2
8601,PII,2,20GHS,2
8903,PII,2,20GHS,2
9113,PII,2,20GHS,2
10003,PII,2,20GHS,2
10011,PII,2,20GHS,2
10306,PII,2,20GHS,2
10406,PII,2,20GHS,2
10506,PII,2,20GHS,2
10715,PII,2,20GHS,2
10915,PII,2,20GHS,2
11202,PII,2,20GHS,2
11307,PII,2,20GHS,2
11613,PII,2,20GHS,2
11701,PII,2,20GHS,2
11705,PII,2,20GHS,2
12007,PII,2,20GHS,2
12109,PII,2,20GHS,2
12311,PII,2,20GHS,2
12703,PII,2,20GHS,2
12913,PII,2,20GHS,2
13005,PII,2,20GHS,2
13111,PII,2,20GHS,2
13309,PII,2,20GHS,2
13406,PII,2,20GHS,2
13611,PII,2,20GHS,2
13702,PII,2,20GHS,2
13913,PII,2,20GHS,2
14202,PII,2,20GHS,2
14213,PII,2,20GHS,2
14809,PII,2,20GHS,2
15111,PII,2,20GHS,2
15402,PII,2,20GHS,2
15404,PII,2,20GHS,2
15413,PII,2,20GHS,2
15803,PII,2,20GHS,2
16015,PII,2,20GHS,2
16213,PII,2,20GHS,2
